HolidayType,Price,NumberOfPersons,Region,isCar,isTrain,isCoach,isPlane,Duration,Season,Accommodation,Hotel
Skiing,1164.0,5.0,Bavaria,1,0,0,0,14.0,3,6,HFlat Chiemgau Bavaria
Active,684.0,2.0,Bavaria,1,0,0,0,7.0,2,6,HFlat Chiemgau Bavaria
Bathing,399.0,6.0,Belgium,1,0,0,0,3.0,10,6,HFlat Belgium
Recreation,949.0,4.0,Bavaria,1,0,0,0,7.0,3,2,Pension Laerchenhof Bavaria
Bathing,499.0,4.0,Belgium,1,0,0,0,3.0,9,6,HFlat Belgium
Active,745.0,3.0,Bavaria,1,0,0,0,7.0,2,2,Pension Laerchenhof Bavaria
Recreation,1079.0,4.0,Belgium,1,0,0,0,7.0,8,6,HFlat Belgium
Skiing,1658.0,2.0,Bavaria,1,0,0,0,7.0,4,4,Hotel Seidlpark Bavaria
Recreation,1638.0,4.0,Belgium,1,0,0,0,14.0,7,6,HFlat Belgium
Active,2985.0,3.0,Bavaria,1,0,0,0,14.0,3,4,Hotel Seidlpark Bavaria
Active,1448.0,3.0,Belgium,1,0,0,0,14.0,10,6,HFlat Belgium
Skiing,2072.0,3.0,Bavaria,1,0,0,0,7.0,3,4,Residenz Ludwig Bavaria
Recreation,978.0,2.0,Belgium,1,0,0,0,7.0,9,3,Acces Hotel Mercure Belgium
Active,1658.0,2.0,Bavaria,1,0,0,0,7.0,2,4,Residenz Ludwig Bavaria
Recreation,978.0,3.0,Belgium,1,0,0,0,7.0,8,3,Acces Hotel Mercure Belgium
Active,3448.0,2.0,Bavaria,1,0,0,0,10.0,1,3,Hotel Bavaria Bavaria
Active,798.0,3.0,Belgium,1,0,0,0,7.0,7,2,Hotel Ostend Belgium
Recreation,3188.0,2.0,Bavaria,1,0,0,0,14.0,3,3,Hotel Bavaria Bavaria
Recreation,1568.0,2.0,Belgium,1,0,0,0,14.0,6,2,Hotel Ostend Belgium
City,2468.0,2.0,Cairo,0,0,0,1,7.0,9,5,Hotel Moevenpick Cairo
Recreation,484.0,2.0,Harz,1,0,0,0,7.0,9,6,HFlat Harz
